prompt,response,text
What information is available about Cheese Varieties and Descriptions?,"By George P. Sanders, Division of Dairy Products Research, Bureau of Dairy
Industry s Agricultural Research Administration","human:What information is available about Cheese Varieties and Descriptions?
bot:By George P. Sanders, Division of Dairy Products Research, Bureau of Dairy
Industry s Agricultural Research Administration"
What information is available about CONTENTS?,Page,"human:What information is available about CONTENTS?
bot:Page"
What information is available about Introduction 1?,Description of cheeses 4,"human:What information is available about Introduction 1?
bot:Description of cheeses 4"
What information is available about Selected references 141?,Index 145,"human:What information is available about Selected references 141?
bot:Index 145"
"What information is available about Washington, D. G. Issued December 1953?","260172°— 53 1

Introduction

Cheese is a highly nutritious and palatable food. It is of value in
the diet because it contains in concentrated form almost all the protein and
usually most of the fat, as well as essential minerals, vitamins, and other
nutrients, of milk.

Cheese is made wherever animals are milked and produce more milk
than the people use in ﬂuid form. Most cheese is made from cow's milk,
simply because cows are milked more generally throughout the world than
other animals. Smaller quantities are made from the milk of goats and
ewes. Cheese is also made in some countries from the milk of other animals,
such as camels, asses, mares, buValoes, and reindeer.

People all over the world like and eat cheese. People in the United
States are no exception. Although we do not eat nearly so much cheese
per capita in the United States as do people in some countries, we eat nearly
twice as much now as 20 years ago, or about 10 pounds (all kinds) per capita
per year. This increased consumption is the result, at least in part, of
improvements made in recent years in the quality and uniformity of many
kinds of cheese.","human:What information is available about Washington, D. G. Issued December 1953?
bot:260172°— 53 1

Introduction

Cheese is a highly nutritious and palatable food. It is of value in
the diet because it contains in concentrated form almost all the protein and
usually most of the fat, as well as essential minerals, vitamins, and other
nutrients, of milk.

Cheese is made wherever animals are milked and produce more milk
than the people use in ﬂuid form. Most cheese is made from cow's milk,
simply because cows are milked more generally throughout the world than
other animals. Smaller quantities are made from the milk of goats and
ewes. Cheese is also made in some countries from the milk of other animals,
such as camels, asses, mares, buValoes, and reindeer.

People all over the world like and eat cheese. People in the United
States are no exception. Although we do not eat nearly so much cheese
per capita in the United States as do people in some countries, we eat nearly
twice as much now as 20 years ago, or about 10 pounds (all kinds) per capita
per year. This increased consumption is the result, at least in part, of
improvements made in recent years in the quality and uniformity of many
kinds of cheese."
"What information is available about No one knows who made the ﬁrst cheese, but according to an ancient?","legend it was made accidentally by an Arabian merchant. The merchant
put his supply of milk into a pouch made of a sheep's stomach when he
set out on a long day's journey across the desert. The rennet in the lining
of the pouch combined with the heat of the sun caused the milk to separate
into curd and whey. He found at nightfall that the whey satisﬁed his
thirst and the cheese (curd) satisﬁed his hunger and had a delightful
ﬂavor. Thus, according to the legend, the making of one of our most
useful foods was begun.

According to ancient records, cheese was used as a food more than
4,000 years ago. It was made and eaten in Biblical times. Travelers
from Asia are believed to have brought the art of cheesemaking to Europe.
Cheese was made in many parts of the Roman Empire when it was at its
height. Then cheesemaking was introduced to England by the Romans.
During the Middle Ages— from the decline of the Roman Empire until the
discovery of America— as well as later, cheese was made and improved by
the monks in the monasteries of Europe. Gorgonzola was made in the
Po Valley in Italy in 879 A. D. and Italy became the cheesemaking center
of Europe in the 10th century. Roquefort was mentioned in the ancient
records of the monastery at Conques, France, in 1070. The Pilgrims
included cheese in the ship's supplies when they made their famous voyage
to America in the Mayﬂower in 1620.

Until the middle of the 19th century, however, cheesemaking was a local
farm industry. Housewives made cheese from the surplus milk produced

1

2 AGRICULTURE HANDBOOK,, U. S. DEPT. OF AGRICULTURE

on the farm. In 1851 the ﬁrst cheese factory in the United States was
built by Jesse Williams near Rome, Oneida County, N. Y. Herkimer
County, which adjoins Oneida County, was the center of the cheese industry in the United States for the next 50 years. For many years during
this period the largest cheese market in the world was at Little Falls, N. Y. ;
there cheese from about 200 factories was sold, in addition to farmmade
cheese. As the population increased in the East, and there was a corresponding increase in the demand for market milk, the industry gradually
moved westward, centering in the rich farm lands of Wisconsin. Cheesemaking in the United States and in the other leading cheese-producing
countries of the world is now largely a factory industry, only small amounts
being made on farms for home use.

More than a billion pounds of cheese is now made in the United States
each year. About one-tenth of the annual milk production is used in
making this cheese.

Most cheese is ""natural"" cheese, that is, it is made directly from milk
(or whey, in a few instances) as opposed to ""process"" cheese, which is
made from a blend or combination of one or more kinds of natural cheese.
Natural cheese is made by coagulating or curdling milk, stirring and heating
the curd, draining oV the whey, and collecting or pressing the curd. Desirable ﬂavor and texture are obtained in many cheeses by curing the cheese,
that is, holding it for a speciﬁed time at a speciﬁc temperature and

humidity.

This bulletin contains descriptions of more than 400 cheeses, arranged
in alphabetical order (pp. 4-143). Many cheeses are named for the town
or community in which they are made, or for a landmark of the community. Hence, many cheeses with diVerent local names are practically
the same in their characteristics. On the other hand, several diVerent
kinds are known by the same local name. More than 800 names are
indexed (pp. 145-151).

A typical analysis, based on data in the literature, is given for most
cheeses. In some instances, the analysis includes ﬁgures of composition
prescribed by the Federal Government (see Selected Reference 30, p. 141) .
It was not possible to obtain analytical data for all the cheeses.

It is diVicult, if not impossible, to classify the diVerent cheeses satisfactorily
in groups. Attempts to do so by other writers have not been entirely successful. There probably are only about 18 distinct types or kinds of
natural cheese. No two of these are made by the same method ; that is, the
details of setting the milk, cutting, stirring, heating, draining, pressing, and
salting the curd, and curing the cheese are varied to produce characteristics
and qualities peculiar to each kind of cheese. The following cheeses are
typical of the 18 kinds: Brick, Camembert, Cheddar, Cottage, Cream, Edam,
Gouda, Hand, Limburger, Neufchatel, Parmesan, Provolone, Romano,
Roquefort, Sapsago, Swiss, Trappist, and whey cheeses (Mysost and
Ricotta).","human:What information is available about No one knows who made the ﬁrst cheese, but according to an ancient?
bot:legend it was made accidentally by an Arabian merchant. The merchant
put his supply of milk into a pouch made of a sheep's stomach when he
set out on a long day's journey across the desert. The rennet in the lining
of the pouch combined with the heat of the sun caused the milk to separate
into curd and whey. He found at nightfall that the whey satisﬁed his
thirst and the cheese (curd) satisﬁed his hunger and had a delightful
ﬂavor. Thus, according to the legend, the making of one of our most
useful foods was begun.

According to ancient records, cheese was used as a food more than
4,000 years ago. It was made and eaten in Biblical times. Travelers
from Asia are believed to have brought the art of cheesemaking to Europe.
Cheese was made in many parts of the Roman Empire when it was at its
height. Then cheesemaking was introduced to England by the Romans.
During the Middle Ages— from the decline of the Roman Empire until the
discovery of America— as well as later, cheese was made and improved by
the monks in the monasteries of Europe. Gorgonzola was made in the
Po Valley in Italy in 879 A. D. and Italy became the cheesemaking center
of Europe in the 10th century. Roquefort was mentioned in the ancient
records of the monastery at Conques, France, in 1070. The Pilgrims
included cheese in the ship's supplies when they made their famous voyage
to America in the Mayﬂower in 1620.

Until the middle of the 19th century, however, cheesemaking was a local
farm industry. Housewives made cheese from the surplus milk produced

1

2 AGRICULTURE HANDBOOK,, U. S. DEPT. OF AGRICULTURE

on the farm. In 1851 the ﬁrst cheese factory in the United States was
built by Jesse Williams near Rome, Oneida County, N. Y. Herkimer
County, which adjoins Oneida County, was the center of the cheese industry in the United States for the next 50 years. For many years during
this period the largest cheese market in the world was at Little Falls, N. Y. ;
there cheese from about 200 factories was sold, in addition to farmmade
cheese. As the population increased in the East, and there was a corresponding increase in the demand for market milk, the industry gradually
moved westward, centering in the rich farm lands of Wisconsin. Cheesemaking in the United States and in the other leading cheese-producing
countries of the world is now largely a factory industry, only small amounts
being made on farms for home use.

More than a billion pounds of cheese is now made in the United States
each year. About one-tenth of the annual milk production is used in
making this cheese.

Most cheese is ""natural"" cheese, that is, it is made directly from milk
(or whey, in a few instances) as opposed to ""process"" cheese, which is
made from a blend or combination of one or more kinds of natural cheese.
Natural cheese is made by coagulating or curdling milk, stirring and heating
the curd, draining oV the whey, and collecting or pressing the curd. Desirable ﬂavor and texture are obtained in many cheeses by curing the cheese,
that is, holding it for a speciﬁed time at a speciﬁc temperature and

humidity.

This bulletin contains descriptions of more than 400 cheeses, arranged
in alphabetical order (pp. 4-143). Many cheeses are named for the town
or community in which they are made, or for a landmark of the community. Hence, many cheeses with diVerent local names are practically
the same in their characteristics. On the other hand, several diVerent
kinds are known by the same local name. More than 800 names are
indexed (pp. 145-151).

A typical analysis, based on data in the literature, is given for most
cheeses. In some instances, the analysis includes ﬁgures of composition
prescribed by the Federal Government (see Selected Reference 30, p. 141) .
It was not possible to obtain analytical data for all the cheeses.

It is diVicult, if not impossible, to classify the diVerent cheeses satisfactorily
in groups. Attempts to do so by other writers have not been entirely successful. There probably are only about 18 distinct types or kinds of
natural cheese. No two of these are made by the same method ; that is, the
details of setting the milk, cutting, stirring, heating, draining, pressing, and
salting the curd, and curing the cheese are varied to produce characteristics
and qualities peculiar to each kind of cheese. The following cheeses are
typical of the 18 kinds: Brick, Camembert, Cheddar, Cottage, Cream, Edam,
Gouda, Hand, Limburger, Neufchatel, Parmesan, Provolone, Romano,
Roquefort, Sapsago, Swiss, Trappist, and whey cheeses (Mysost and
Ricotta)."
"What information is available about Such a grouping, though informative, is imperfect and incomplete.?","Cheeses can be also classiﬁed as very hard (grating) , hard, semisoft, or soft;
and as ripened by bacteria, by mold, by surface micro-organisms, or by a","human:What information is available about Such a grouping, though informative, is imperfect and incomplete.?
bot:Cheeses can be also classiﬁed as very hard (grating) , hard, semisoft, or soft;
and as ripened by bacteria, by mold, by surface micro-organisms, or by a"
What information is available about CHEESE VARIETIES AND DESCRIPTIONS?,"3

combination of these, or as unripened. Following are examples of cheeses
in these classiﬁcations :

1. Very hard (grating) :

(a) Ripened by bacteria: Asiago old, Parmesan, Romano, Sapsago, Spalen.

2. Hard:

(a) Ripened by bacteria, without eyes: Cheddar, Granular or","human:What information is available about CHEESE VARIETIES AND DESCRIPTIONS?
bot:3

combination of these, or as unripened. Following are examples of cheeses
in these classiﬁcations :

1. Very hard (grating) :

(a) Ripened by bacteria: Asiago old, Parmesan, Romano, Sapsago, Spalen.

2. Hard:

(a) Ripened by bacteria, without eyes: Cheddar, Granular or"
"What information is available about Stirred-curd, and Caciocavallo.?","(b) Ripened by bacteria, with eyes: Swiss, Emmentaler, and

Gruyere.

3. Semisoft:

(a) Ripened principally by bacteria : Brick and Minister.

(b) Ripened by bacteria and surface micro-organisms: Lim-

burger, Port du Salut, and Trappist.

(c) Ripened principally by blue mold in the interior: Roquefort,","human:What information is available about Stirred-curd, and Caciocavallo.?
bot:(b) Ripened by bacteria, with eyes: Swiss, Emmentaler, and

Gruyere.

3. Semisoft:

(a) Ripened principally by bacteria : Brick and Minister.

(b) Ripened by bacteria and surface micro-organisms: Lim-

burger, Port du Salut, and Trappist.

(c) Ripened principally by blue mold in the interior: Roquefort,"
"What information is available about Gorgonzola, Blue, Stilton, and Wensleydale.?","4. Soft:

(a) Ripened: Bel Paese, Brie, Camembert, Cooked, Hand, and","human:What information is available about Gorgonzola, Blue, Stilton, and Wensleydale.?
bot:4. Soft:

(a) Ripened: Bel Paese, Brie, Camembert, Cooked, Hand, and"
